Actual Sales,Predicted Sales
523.971,523.971
616.98,616.98
408.7335,408.73349999999994
135.3555,135.3554999999999
45.927,45.926999999999836
618.975,618.9749999999999
127.827,127.82699999999991
731.6925,731.6924999999999
450.1035,450.1035
138.1275,138.1274999999999
422.73,422.7300000000001
463.428,463.428
212.7825,212.7825
252.252,252.25199999999995
290.0835,290.08349999999996
331.128,331.1280000000001
587.664,587.664
216.846,216.84599999999998
757.365,757.365
185.094,185.09399999999994
416.178,416.178
166.236,166.23600000000005
128.016,128.0159999999999
125.706,125.70599999999992
247.8735,247.87350000000004
195.594,195.594
742.2975,742.2974999999999
30.996,30.995999999999828
145.5825,145.58249999999992
56.469,56.468999999999895
75.5475,75.54749999999994
609.0,609.0
96.1905,96.19049999999997
432.768,432.76800000000003
193.011,193.011
174.3,174.29999999999993
667.38,667.3799999999999
198.639,198.63899999999992
193.074,193.07399999999996
192.843,192.84299999999996
214.746,214.74599999999992
922.635,922.635
74.7075,74.70749999999994
180.873,180.87299999999996
93.0405,93.0405
400.764,400.76399999999995
221.886,221.886
68.2395,68.23949999999992
343.224,343.22400000000005
281.169,281.169
430.71,430.71
101.64,101.64000000000004
69.09,69.08999999999989
269.934,269.9339999999999
181.44,181.43999999999994
494.1825,494.18249999999995
461.5275,461.5274999999999
60.816,60.815999999999896
456.288,456.288
222.138,222.13799999999992
121.128,121.1279999999999
33.936,33.93599999999984
84.756,84.75599999999989
942.4485,942.4485
381.3915,381.3915
510.615,510.61500000000007
370.125,370.125
760.452,760.452
939.54,939.54
118.251,118.25099999999998
391.419,391.419
127.26,127.26000000000012
293.139,293.13899999999995
89.0715,89.07149999999997
65.604,65.60399999999991
697.368,697.3679999999999
764.19,764.19
253.008,253.008
76.755,76.75499999999992
745.836,745.8359999999998
305.55,305.54999999999995
70.287,70.28699999999986
352.5795,352.5795
614.943,614.943
218.0745,218.07449999999997
270.585,270.5849999999999
69.111,69.11099999999992
829.08,829.0799999999999
384.72,384.71999999999997
395.892,395.892
523.3725,523.3725
138.663,138.66299999999995
235.872,235.87199999999996
796.908,796.9079999999999
57.6975,57.697499999999934
348.306,348.3059999999999
233.1,233.09999999999994
44.5935,44.593499999999864
166.005,166.0050000000001
681.4395,681.4395
525.231,525.231
379.9215,379.9215
579.8415,579.8415
69.6675,69.66749999999992
697.935,697.935
63.2625,63.26249999999994
142.002,142.002
932.337,932.337
323.064,323.06399999999996
397.614,397.614
570.78,570.78
216.4365,216.43649999999994
334.4775,334.47749999999996
333.984,333.984
401.73,401.72999999999996
147.798,147.79799999999994
90.699,90.69900000000001
26.7225,26.722499999999823
148.68,148.67999999999992
190.155,190.1550000000001
485.5725,485.57249999999993
383.7645,383.76450000000006
130.8825,130.88250000000008
709.317,709.317
232.155,232.15499999999994
228.123,228.12299999999993
75.936,75.93599999999991
20.1075,20.107499999999806
131.922,131.92199999999994
144.963,144.96299999999994
147.672,147.6719999999999
624.33,624.3299999999999
723.24,723.2399999999998
42.3675,42.36749999999986
926.9505,926.9504999999999
722.232,722.232
836.304,836.3039999999999
19.194,19.193999999999804
441.756,441.75600000000003
152.838,152.8379999999999
32.277,32.27699999999982
94.185,94.18499999999995
856.4535,856.4534999999998
38.85,38.84999999999985
148.995,148.99499999999992
313.74,313.74
90.3,90.30000000000004
788.508,788.5079999999998
10.6785,10.678499999999783
41.391,41.39099999999986
609.168,609.1679999999999
918.729,918.729
167.58,167.57999999999998
951.825,951.825
943.299,943.2989999999998
310.59,310.5899999999999
172.011,172.011
261.198,261.1979999999999
77.931,77.93099999999987
175.014,175.01399999999995
46.683,46.68299999999986
86.247,86.24699999999997
259.77,259.7700000000001
397.215,397.215
106.5015,106.5014999999999
300.573,300.573
252.042,252.04199999999994
211.365,211.36499999999995
820.365,820.365
503.559,503.55899999999997
793.548,793.5479999999998
40.53,40.52999999999985
34.629,34.628999999999834
633.108,633.108
431.445,431.4450000000001
461.286,461.28599999999994
494.76,494.75999999999993
276.948,276.9479999999999
495.3165,495.3165
308.574,308.57399999999996
209.769,209.76900000000003
588.42,588.4200000000001
701.8515,701.8515
164.682,164.6819999999999
295.407,295.407
216.846,216.84599999999998
374.388,374.388
343.056,343.0559999999999
479.64,479.64000000000004
597.0405,597.0404999999998
188.0025,188.00249999999994
779.31,779.31
104.6745,104.6745
374.7975,374.79749999999996
146.223,146.2229999999999
237.426,237.42599999999993
404.355,404.35499999999996
95.6655,95.66549999999988
84.9765,84.97649999999996
822.255,822.2550000000001
